Player,Tier,LP,Wins,Top4,Played,Win Rate%,Top4 Rate%
Drunkiris,Challenger 1,809 LP,57,196,384,14.8,51.2
Kuzma is High,Challenger 1,645 LP,31,154,291,10.7,52.9
EGN Rodrigues,Grandmaster 1,501 LP,15,49,84,17.9,58.3
Batata,Grandmaster 1,465 LP,21,85,158,13.3,53.8
ArtourBabaevsky,Grandmaster 1,452 LP,17,58,96,17.7,60.4
ZOOLEXisTOP,Grandmaster 1,390 LP,9,34,50,18,68
EGN Renygp xD,Grandmaster 1,200 LP,43,167,354,12.1,47.4
Kilnae,Master 1,166 LP,14,69,125,11.2,55.2
Nyxer TFT,Master 1,65 LP,17,67,132,12.9,50.8
FTW AïM,Diamond 1,11 LP,21,81,164,12.8,49.4
Jitonce,Diamond 2,39 LP,11,41,68,16.2,61.2
